domain	identity	targets	optimizer_effect	memory	access	provenance	ordering	failure	abi	obligation	witness	disposition	source_site
object_instr	Call	both	n/a	unknown	rel32-target	resolved-symbol	control-effect	range-or-symbol-reject	object	relocation preserves call versus tail-call target semantics	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.Call
object_instr	TailCall	both	n/a	unknown	rel32-target	resolved-symbol	control-effect	range-or-symbol-reject	object	relocation preserves call versus tail-call target semantics	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.TailCall
object_instr	Jump	both	n/a	none	rel32-target	resolved-label	control-effect	range-or-symbol-reject	object	conditional and unconditional edges retain target identity	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.Jump
object_instr	Ja	both	n/a	none	rel32-target	resolved-label	control-effect	range-or-symbol-reject	object	conditional and unconditional edges retain target identity	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.Ja
object_instr	Branch	both	n/a	none	rel32-target	resolved-label	control-effect	range-or-symbol-reject	object	conditional and unconditional edges retain target identity	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.Branch
object_instr	LoadRip	both	n/a	read	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	RIP displacement resolves within encoded range	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.LoadRip
object_instr	LoadRipAddress	both	n/a	none	fixed-width-rip-relative	resolved-data-symbol	ordered-address	range-or-symbol-reject	object	LEA computes symbol address without reading the target	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.LoadRipAddress
object_instr	LoadRipAddressR11	both	n/a	none	fixed-width-rip-relative	resolved-data-symbol	ordered-address	range-or-symbol-reject	object	LEA computes symbol address without reading the target	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.LoadRipAddressR11
object_instr	StoreRip	both	n/a	write	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	RIP displacement and store width preserve data layout	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.StoreRip
object_instr	SubRspImm8	both	n/a	none	stack-delta	aligned-live-frame	ordered-abi	caller-frame-probe-required	object	stack adjustment preserves call-site alignment and shadow space	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.SubRspImm8
object_instr	MovRcxRip	both	n/a	read	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	RIP displacement resolves within encoded range	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.MovRcxRip
object_instr	MovRdxRip	both	n/a	read	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	RIP displacement resolves within encoded range	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.MovRdxRip
object_instr	LoadRipAddressRdx	both	n/a	none	fixed-width-rip-relative	resolved-data-symbol	ordered-address	range-or-symbol-reject	object	LEA computes symbol address without reading the target	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.LoadRipAddressRdx
object_instr	StoreR14Rip	both	n/a	write	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	RIP displacement and store width preserve data layout	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.StoreR14Rip
object_instr	StoreR15Rip	both	n/a	write	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	RIP displacement and store width preserve data layout	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.StoreR15Rip
object_instr	AddRcxRip	both	n/a	read+write	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	read-modify-write retains exact width and target address	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.AddRcxRip
object_instr	MovRcxRax	both	n/a	none	fixed-register-width	live-register	ordered-abi	none	object	register move respects target clobber and value class	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.MovRcxRax
object_instr	XorpdRip	both	n/a	read	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	RIP displacement resolves within encoded range	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.XorpdRip
object_instr	Bytes	both	n/a	unknown	explicit-byte-sequence	trusted-encoder	ordered-emission	invalid-encoding-reject	object	opaque bytes require checked producer and range validation	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.Bytes
object_instr	Raw	linux-x86_64	n/a	unknown	opaque-raw-bytes	trusted-elf-producer	ordered-emission	coff-route-reject	elf	raw bytes are rejected by COFF and admitted only by ELF route	src/compiler_object_elf.tl	elf-only	src/compiler_object.tl:CompilerObjectX64Instr.Raw
object_data	Label	both	n/a	none	symbol-offset	defined-symbol	emission-order	duplicate-symbol-reject	object	label names resolve to exact section offsets	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectDataRecord.Label
object_data	Align	both	n/a	write	record-width	section-owned-storage	ordered-layout	overflow-reject	object	physical extent and serializer offsets agree	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectDataRecord.Align
object_data	Bytes	both	n/a	write	record-width	section-owned-storage	ordered-layout	overflow-reject	object	physical extent and serializer offsets agree	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectDataRecord.Bytes
object_data	String	both	n/a	write	record-width	section-owned-storage	ordered-layout	overflow-reject	object	physical extent and serializer offsets agree	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectDataRecord.String
object_data	F64	both	n/a	write	record-width	section-owned-storage	ordered-layout	overflow-reject	object	physical extent and serializer offsets agree	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectDataRecord.F64
object_data	F32	both	n/a	write	record-width	section-owned-storage	ordered-layout	overflow-reject	object	physical extent and serializer offsets agree	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectDataRecord.F32
object_data	I64	both	n/a	write	record-width	section-owned-storage	ordered-layout	overflow-reject	object	physical extent and serializer offsets agree	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectDataRecord.I64
object_data	Zero	both	n/a	write	record-width	section-owned-storage	ordered-layout	overflow-reject	object	physical extent and serializer offsets agree	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectDataRecord.Zero
object_data	SymbolAddress	both	n/a	write	record-width	section-owned-storage	ordered-layout	overflow-reject	object	physical extent and serializer offsets agree	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectDataRecord.SymbolAddress
object_data	SymbolRva32	windows-x86_64	n/a	write	u32-rva	resolved-image-symbol	ordered-layout	range-or-symbol-reject	coff	RVA relocation fits 32 bits and target is image-relative	src/compiler_backend_object_target_tests.tl	blocked:#7732	src/compiler_object.tl:CompilerObjectDataRecord.SymbolRva32
object_reloc	Call	both	n/a	write	rel32	resolved-symbol	link-time	range-or-symbol-reject	object	PC-relative displacement fits encoding and names one target	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectRelocationKind.Call
object_reloc	TailCall	both	n/a	write	rel32	resolved-symbol	link-time	range-or-symbol-reject	object	PC-relative displacement fits encoding and names one target	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectRelocationKind.TailCall
object_reloc	Abs64	both	n/a	write	u64-address	resolved-symbol	link-time	range-or-symbol-reject	object	absolute relocation writes exact pointer width	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectRelocationKind.Abs64
object_reloc	Addr32Nb	windows-x86_64	n/a	write	u32-rva	resolved-image-symbol	link-time	range-or-symbol-reject	coff	image-relative relocation fits target field	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectRelocationKind.Addr32Nb
object_reloc	RipValue	both	n/a	write	rel32	resolved-symbol	link-time	range-or-symbol-reject	object	PC-relative displacement fits encoding and names one target	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectRelocationKind.RipValue
object_reloc	RipAddress	both	n/a	write	rel32	resolved-symbol	link-time	range-or-symbol-reject	object	PC-relative displacement fits encoding and names one target	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectRelocationKind.RipAddress
object_reloc	Branch	both	n/a	write	rel32	resolved-symbol	link-time	range-or-symbol-reject	object	PC-relative displacement fits encoding and names one target	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectRelocationKind.Branch
object_section	Text	both	n/a	write	section-alignment	owned-records	ordered-layout	overflow-reject	object	section extent and symbol offsets remain consistent	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSectionKind.Text
object_section	Data	both	n/a	write	section-alignment	owned-records	ordered-layout	overflow-reject	object	section extent and symbol offsets remain consistent	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSectionKind.Data
object_section	Rodata	both	n/a	write	section-alignment	owned-records	ordered-layout	overflow-reject	object	section extent and symbol offsets remain consistent	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSectionKind.Rodata
object_section	Bss	both	n/a	write	section-alignment	owned-records	ordered-layout	overflow-reject	object	section extent and symbol offsets remain consistent	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSectionKind.Bss
object_section	Pdata	windows-x86_64	n/a	write	section-alignment	owned-records	ordered-layout	overflow-reject	coff	Windows unwind and resource sections retain PE applicability	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSectionKind.Pdata
object_section	Xdata	windows-x86_64	n/a	write	section-alignment	owned-records	ordered-layout	overflow-reject	coff	Windows unwind and resource sections retain PE applicability	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSectionKind.Xdata
object_section	Rsrc	windows-x86_64	n/a	write	section-alignment	owned-records	ordered-layout	overflow-reject	coff	Windows unwind and resource sections retain PE applicability	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSectionKind.Rsrc
object_binding	Local	both	n/a	none	symbol-kind	resolved-or-extern	link-time	duplicate-or-missing-reject	object	binding kind and target section are not conflated	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSymbolBinding.Local
object_binding	Export	both	n/a	none	symbol-kind	resolved-or-extern	link-time	duplicate-or-missing-reject	object	binding kind and target section are not conflated	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSymbolBinding.Export
object_binding	Extern	both	n/a	none	symbol-kind	resolved-or-extern	link-time	duplicate-or-missing-reject	object	binding kind and target section are not conflated	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSymbolBinding.Extern
object_symbol	Function	both	n/a	none	symbol-kind	resolved-or-extern	link-time	duplicate-or-missing-reject	object	binding kind and target section are not conflated	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSymbolKind.Function
object_symbol	Data	both	n/a	none	symbol-kind	resolved-or-extern	link-time	duplicate-or-missing-reject	object	binding kind and target section are not conflated	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSymbolKind.Data
object_symbol	Section	both	n/a	none	symbol-kind	resolved-or-extern	link-time	duplicate-or-missing-reject	object	binding kind and target section are not conflated	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSymbolKind.Section
object_symbol	Runtime	both	n/a	none	symbol-kind	resolved-or-extern	link-time	duplicate-or-missing-reject	object	binding kind and target section are not conflated	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectSymbolKind.Runtime
target_abi	Linux	linux-x86_64	n/a	read+write	sysv-arg-return-class	typed-call	ordered-abi	unsupported-signature-reject	sysv	six GP and eight SSE argument registers; sixteen-byte call alignment; caller-save and return class preserved	src/compiler_regalloc_tests.tl	checked	src/compiler_abi.tl:CompilerRegTargetAbi.Linux
target_abi	Windows	windows-x86_64	n/a	read+write	win64-arg-return-class	typed-call	ordered-abi	unsupported-signature-reject	win64	four positional registers; 32-byte shadow space; sixteen-byte call alignment; nonvolatile GP and XMM preserved	src/compiler_regalloc_tests.tl	checked	src/compiler_abi.tl:CompilerRegTargetAbi.Windows
backend_target	Linux	linux-x86_64	n/a	read+write	sysv-arg-return-class	typed-call	ordered-abi	unsupported-signature-reject	sysv	six GP and eight SSE argument registers; sixteen-byte call alignment; caller-save and return class preserved	src/compiler_regalloc_tests.tl	checked	src/compiler_backend.tl:CompilerBackendTarget.Linux
backend_target	Windows	windows-x86_64	n/a	read+write	win64-arg-return-class	typed-call	ordered-abi	unsupported-signature-reject	win64	four positional registers; 32-byte shadow space; sixteen-byte call alignment; nonvolatile GP and XMM preserved	src/compiler_regalloc_tests.tl	checked	src/compiler_backend.tl:CompilerBackendTarget.Windows
backend_mode	Scalar	both	n/a	none	scalar-lane	typed-program	mode-observable	none	backend	scalar reference preserves source active program order	scripts/verify-cross-mode-differential.sh	checked	src/compiler_backend.tl:CompilerBackendMode.Scalar
backend_mode	Avx2	both	n/a	read+write	vector-lane	active-mask	mode-observable	unsupported-shape-reject	backend	AVX2 memory and masked semantics match scalar reference	scripts/verify-cross-mode-differential.sh	checked	src/compiler_backend.tl:CompilerBackendMode.Avx2
backend_mode	Avx512	both	n/a	read+write	vector-lane	active-mask	mode-observable	unsupported-shape-reject	backend	AVX512 masked memory never touches inactive lanes	scripts/verify-cross-mode-differential.sh	checked	src/compiler_backend.tl:CompilerBackendMode.Avx512
object_abi_context	Call	both	n/a	read+write	scalar-intlike-subset	typed-call	ordered-abi	unsupported-signature-reject	object	fail closed outside currently witnessed direct-object call entry return subset	src/compiler_backend_object_target_tests.tl	subset:#7434	src/compiler_backend.tl:CompilerBackendObjectAbiContext.Call
object_abi_context	FunctionEntry	both	n/a	read+write	scalar-intlike-subset	typed-call	ordered-abi	unsupported-signature-reject	object	fail closed outside currently witnessed direct-object call entry return subset	src/compiler_backend_object_target_tests.tl	subset:#7434	src/compiler_backend.tl:CompilerBackendObjectAbiContext.FunctionEntry
object_abi_context	FunctionReturn	both	n/a	read+write	scalar-intlike-subset	typed-call	ordered-abi	unsupported-signature-reject	object	fail closed outside currently witnessed direct-object call entry return subset	src/compiler_backend_object_target_tests.tl	subset:#7434	src/compiler_backend.tl:CompilerBackendObjectAbiContext.FunctionReturn
reg_scratch_class	Gp	both	n/a	none	gp-register	live-interval	ordered-abi	spill-or-reject	regalloc	scratch home must not overlap live owner or reserved target register	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchClass.Gp
reg_scratch_class	Xmm	both	n/a	none	xmm-register	live-interval	ordered-abi	spill-or-reject	regalloc	XMM scratch home must respect vector class and caller clobber	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchClass.Xmm
reg_scratch_role	CallTarget	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.CallTarget
reg_scratch_role	CallStage	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.CallStage
reg_scratch_role	CallMemoryXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.CallMemoryXmm
reg_scratch_role	AggregateWord	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.AggregateWord
reg_scratch_role	PhiCycle	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.PhiCycle
reg_scratch_role	PhiCycleXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.PhiCycleXmm
reg_scratch_role	PhiStage	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.PhiStage
reg_scratch_role	SwitchIndex	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.SwitchIndex
reg_scratch_role	SwitchTable	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.SwitchTable
reg_scratch_role	BoundsLength	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.BoundsLength
reg_scratch_role	BoundsIndex	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.BoundsIndex
reg_scratch_role	ShuffleActive	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.ShuffleActive
reg_scratch_role	ShuffleSelector	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.ShuffleSelector
reg_scratch_role	MemoryAddress	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.MemoryAddress
reg_scratch_role	MemoryIndex	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.MemoryIndex
reg_scratch_role	MemoryValue	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.MemoryValue
reg_scratch_role	CopyDst	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.CopyDst
reg_scratch_role	CopySrc	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.CopySrc
reg_scratch_role	CopyValue	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.CopyValue
reg_scratch_role	CopyValueXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.CopyValueXmm
reg_scratch_role	SplatValueGp	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.SplatValueGp
reg_scratch_role	SplatValueXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.SplatValueXmm
reg_scratch_role	SimdAddressBase	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.SimdAddressBase
reg_scratch_role	SimdAddressIndex	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.SimdAddressIndex
reg_scratch_role	TailMaskCount	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.TailMaskCount
reg_scratch_role	TailMaskIndex	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.TailMaskIndex
reg_scratch_role	TailMaskBits	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.TailMaskBits
reg_scratch_role	VectorPrefixCarry	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.VectorPrefixCarry
reg_scratch_role	VectorPrefixBits	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.VectorPrefixBits
reg_scratch_role	VectorPrefixValue	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.VectorPrefixValue
reg_scratch_role	VectorPrefixWork0	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.VectorPrefixWork0
reg_scratch_role	VectorPrefixWork1	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.VectorPrefixWork1
reg_scratch_role	VectorReduceAccumulator	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.VectorReduceAccumulator
reg_scratch_role	VectorReduceScratch	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.VectorReduceScratch
reg_scratch_role	FloatCastValueXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatCastValueXmm
reg_scratch_role	FloatCastValueGp	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatCastValueGp
reg_scratch_role	FloatCastScratchGp	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatCastScratchGp
reg_scratch_role	FloatBitcastValueXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatBitcastValueXmm
reg_scratch_role	FloatBitcastValueGp	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatBitcastValueGp
reg_scratch_role	FloatMoveValueXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatMoveValueXmm
reg_scratch_role	FloatMemoryValueXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatMemoryValueXmm
reg_scratch_role	FloatArithmeticResultXmm	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values	src/compiler_regalloc_tests.tl	checked	src/compiler_regalloc.tl:CompilerRegScratchRole.FloatArithmeticResultXmm
